,time,municipality,station,latitude,longitude,unit
0,2019-06-10 14:24:32,165,336,41.55765685179606,-8.374529001008215,879
1,2019-04-22 11:41:47,53,319,40.69919316728732,-8.340069351262452,758
2,2019-06-20 11:17:08,225,147,41.470581527950806,-8.312473507085121,538
3,2019-12-18 00:44:57,108,451,41.376637446538815,-8.766188390539837,1073
4,2019-09-11 05:06:50,116,248,41.61581772906231,-8.360337330722452,709
5,2019-11-14 20:05:08,177,479,39.92130743004107,-8.36199780716055,1103
6,2019-03-09 20:11:06,266,413,38.6990368268589,-9.162736360256588,1169
7,2019-04-01 16:54:23,256,424,39.39311346950392,-9.128461797385489,928
8,2019-04-02 19:07:13,44,271,40.97261621623207,-8.523160453541983,906
9,2019-05-07 07:35:13,134,136,38.65857345301062,-9.064923189958284,155
10,2019-03-07 15:10:25,55,341,39.28297156801657,-9.03050546525569,1516
11,2019-10-29 06:40:35,111,501,40.60436214280432,-7.081197931899502,28
12,2019-12-22 11:35:39,265,332,41.0484116442706,-8.643182189917614,1277
13,2019-01-30 04:04:49,153,515,39.49154692626907,-8.98688837691897,345
14,2019-08-09 01:30:23,133,440,38.81787662674201,-9.114422299940204,21
15,2019-07-31 09:07:09,136,534,38.568307307878385,-9.092792645285016,348
16,2019-06-05 12:37:18,193,577,41.19175111887824,-8.578634883803167,707
17,2019-05-27 05:59:13,236,405,40.62072423990446,-8.630912012933067,503
18,2019-12-15 16:37:42,193,444,41.11359906326111,-8.507035145574273,743
19,2019-02-13 03:14:27,44,271,40.97865616268148,-8.567298897975865,906
20,2019-01-18 08:15:14,15,492,39.801116505394596,-8.606903676775918,1113
21,2019-10-28 21:02:54,236,491,40.60957950352424,-8.634689295110713,146
22,2019-04-03 12:11:12,81,197,41.155848023546866,-8.600795431861966,58
23,2019-06-28 10:25:18,248,374,41.208949833374646,-8.626280133923919,939
24,2019-12-03 07:54:46,232,167,38.17290521739351,-8.523604133643678,1142
25,2019-02-06 16:01:18,148,451,41.36802637218958,-8.750131725371185,611
26,2019-11-30 06:03:05,180,25,41.3533688028331,-7.791180312118088,198
27,2019-10-03 21:01:50,84,526,37.51969224955158,-8.722602126669333,199
28,2019-09-25 17:31:14,254,244,41.28557929446041,-8.377841213166983,996
29,2019-10-09 05:35:15,263,259,38.722442128877645,-9.244010546413513,634
30,2019-07-01 04:01:19,15,240,39.945444336788974,-8.6345842497947,1207
31,2019-11-08 07:47:01,263,559,38.688844152106604,-9.311888509737495,773
32,2019-01-25 04:38:11,47,311,39.61218351429117,-8.782125566007055,1442
33,2019-06-23 02:04:17,129,468,39.69301681891422,-8.88160418479154,1509
34,2019-09-26 18:29:32,45,128,38.64297638850935,-9.146314370695938,1549
35,2019-11-20 12:18:53,188,449,37.096996928856015,-8.242262633567416,1542
36,2019-01-20 04:37:25,248,18,41.20814274088521,-8.66642302006704,493
37,2019-02-18 06:32:52,266,50,38.744208967429614,-9.1478333698471,494
38,2019-06-02 15:57:18,189,139,38.99102026304832,-8.994692988262118,1068
39,2019-09-11 19:21:16,159,527,37.11028465258184,-8.385660327648457,663
40,2019-03-15 07:07:31,80,473,38.961142455660934,-8.811235036042481,1192
41,2019-07-23 15:47:58,6,512,39.87284110200322,-8.00925624506988,226
42,2019-10-10 09:10:58,265,539,41.12166989724747,-8.641721452597409,367
43,2019-08-25 02:33:32,45,48,38.64186002934797,-9.227029223847559,1036
44,2019-02-26 16:27:35,193,577,41.19919753739238,-8.574924254414032,707
45,2019-10-09 08:52:26,255,73,40.584109339444446,-8.448034125642375,469
46,2019-04-11 23:32:08,256,424,39.40567714858257,-9.146008591053427,1477
47,2019-11-03 18:31:58,71,124,38.73685917549033,-9.217109844450608,801
48,2019-03-06 04:32:41,188,449,37.08680089399577,-8.27247936867843,41
49,2019-02-03 06:57:30,92,389,39.10116253245356,-9.335607436317133,834
50,2019-07-15 17:50:15,83,487,39.74622270168067,-7.654064725947697,174
51,2019-02-06 11:33:48,26,268,38.566548372238046,-7.921579379383158,1472
52,2019-04-13 06:54:31,106,470,40.53596164347448,-8.055807271618802,814
53,2019-12-29 20:01:34,133,440,38.843471030647756,-9.080091616283434,1300
54,2019-11-16 21:19:16,136,170,38.61773641168142,-9.107385165415401,153
55,2019-04-21 12:32:47,43,172,39.23387995820391,-8.686295520626556,323
56,2019-03-30 12:34:04,230,342,41.5993668566852,-8.51665838905102,1013
57,2019-07-25 13:26:58,150,157,39.034350719700605,-8.97045648160348,32
58,2019-10-25 13:25:47,71,287,38.75101427875862,-9.248601932297856,1434
59,2019-08-31 22:16:04,8,394,41.1979574340363,-8.271611770670688,833
60,2019-02-05 14:40:16,69,385,41.34711887380419,-8.065240941627106,889
61,2019-03-07 01:30:53,190,333,38.52885643649607,-8.501686428647155,856
62,2019-01-20 17:35:59,153,548,39.670779227079194,-8.997266004715087,975
63,2019-01-28 07:06:28,184,442,41.334789989113396,-8.56397917895583,692
64,2019-09-09 13:59:52,153,306,39.476559374879145,-9.058214467937269,491
65,2019-11-25 15:51:55,142,500,38.87507700744113,-8.165062762086523,1356
66,2019-03-05 19:08:33,98,6,38.70803221863141,-8.970573499930206,1452
67,2019-04-11 06:31:09,133,195,38.869881867338435,-9.122461388891091,731
68,2019-06-12 05:47:00,159,527,37.10888713558533,-8.456979682141242,663
69,2019-01-17 11:25:14,45,128,38.632575428316294,-9.178786714105843,1093
70,2019-04-15 14:06:44,166,155,40.10284311789331,-8.696591351744283,1437
71,2019-04-10 08:19:57,266,223,38.7377515558147,-9.168499463459698,1117
72,2019-09-15 07:20:39,108,298,41.3831613628385,-8.757049861067138,1314
73,2019-01-30 20:09:46,160,296,38.61039714239496,-8.900016716605972,1274
74,2019-04-18 05:21:52,36,7,41.452107912806234,-8.18667661176733,1520
75,2019-04-25 16:03:45,207,484,40.20482092547596,-8.432647903489917,1604
76,2019-10-16 07:26:48,265,105,41.123986732647055,-8.65741534375037,746
77,2019-12-03 11:08:14,41,545,40.45821691331385,-7.853010084945309,268
78,2019-06-01 21:31:01,102,245,39.35826571876589,-7.44591648675838,360
79,2019-08-14 10:16:07,248,441,41.186011773329696,-8.682618448609167,512
80,2019-03-30 13:26:26,220,395,41.12775378661379,-7.755349245951578,779
